name,category_list,funding_total_usd,country_code,city,funding_rounds,founded_at,first_funding_at,last_funding_at
0-6.com,Curated Web,2000000.0,AS,Beijing,1.0,2007,2008,2008
Ondine Biomedical Inc.,Biotechnology,762851.0,NorthAm,Vancouver,2.0,1997,2009,2009
H2O.ai,Analytics,33600000.0,NorthAm,Mountain View,4.0,2011,2013,2015
One Inc.,Mobile,1150050.0,NorthAm,San Francisco,3.0,2011,2011,2014
"1,2,3 Listo",E-Commerce,40000.0,SouthAm,Las Condes,1.0,2012,2013,2013
1-800-DOCTORS,Health and Wellness,1750000.0,NorthAm,Iselin,1.0,1984,2011,2011
10-20 Media,E-Commerce,2050000.0,NorthAm,Woodbine,4.0,2001,2009,2011
10 Minutes With,Education,4400000.0,EU,London,2.0,2013,2013,2014
1000 Corks,Search,40000.0,NorthAm,Lake Oswego,1.0,2008,2011,2011
1000memories,Curated Web,2535000.0,NorthAm,San Francisco,2.0,2010,2010,2011
1000museums.com,Curated Web,6795451.0,NorthAm,Lenox,9.0,2008,2009,2015
100Plus,Analytics,1250000.0,NorthAm,San Francisco,2.0,2011,2011,2011
1010data,Software,35000000.0,NorthAm,New York,1.0,2000,2010,2010
10BestThings,Curated Web,50000.0,NorthAm,Cleveland,1.0,2009,2009,2009
10X Technologies,Biotechnology,3550000.0,NorthAm,Oakland,2.0,2012,2012,2015
10X10 Room,Software,77500.0,NorthAm,Lexington,1.0,2010,2011,2011
117go,Social Travel,20000000.0,AS,Shanghai,1.0,2011,2014,2014
1248,Software,378812.0,EU,Cambridge,1.0,2013,2014,2014
1366 Technologies,Manufacturing,71450000.0,NorthAm,Bedford,9.0,2007,2008,2015
15Five,Software,3400000.0,NorthAm,San Francisco,3.0,2011,2012,2014
16 Mile Solutions,Software,199957.0,NorthAm,Seattle,1.0,2006,2009,2009
16WiFi,Public Transportation,16000000.0,AS,Beijing,1.0,2011,2015,2015
170 Systems,Software,14000000.0,NorthAm,Bedford,1.0,1990,2002,2002
17hats,Internet,5250000.0,NorthAm,Los Angeles,2.0,2014,2015,2015
17u.cn,Travel,84440319.0,AS,Suzhou,3.0,2004,2008,2014
1Energy Systems,Software,1450000.0,NorthAm,Seattle,1.0,2010,2013,2013
1Mind,Social Media,500000.0,NorthAm,Hampton Falls,1.0,2011,2013,2013
