funding_total_usd,country_code,city,funding_rounds
10000000.0,AS,Mumbai,1.0
700000.0,NorthAm,Delaware City,2.0
2000000.0,AS,Beijing,1.0
41250.0,AS,Hong Kong,1.0
762851.0,NorthAm,Vancouver,2.0
33600000.0,NorthAm,Mountain View,4.0
1150050.0,NorthAm,San Francisco,3.0
40000.0,SouthAm,Las Condes,1.0
1750000.0,NorthAm,Iselin,1.0
6000000.0,NorthAm,New York,1.0
5000000.0,NorthAm,Cupertino,1.0
100000.0,NorthAm,Mountain View,1.0
2050000.0,NorthAm,Woodbine,4.0
4400000.0,EU,London,2.0
40000.0,NorthAm,Lake Oswego,1.0
500000.0,NorthAm,Seattle,1.0
2535000.0,NorthAm,San Francisco,2.0
6795451.0,NorthAm,Lenox,9.0
10661772.8991108,EU,Paris,5.0
8900000.0,EU,Montpellier,1.0
10000000.0,AS,Beijing,3.0
3000000.0,AS,Shanghai,2.0
4500000.0,AS,Beijing,2.0
4000000.0,NorthAm,Madison,2.0
1250000.0,NorthAm,San Francisco,2.0
35000000.0,NorthAm,New York,1.0
50000.0,NorthAm,Cleveland,1.0
1600000.0,NorthAm,San Francisco,2.0
100000.0,AS,Sydney,1.0
55000000.0,NorthAm,Pleasanton,1.0
3550000.0,NorthAm,Oakland,2.0
77500.0,NorthAm,Lexington,1.0
1958909.0,EU,London,1.0
20000000.0,AS,Shanghai,1.0
1800000.0,NorthAm,Huntsville,1.0
935000.0,NorthAm,Palo Alto,1.0
440000.0,AS,Melbourne,3.0
794000.0,NorthAm,Providence,6.0
1000000.0,Other,Timisoara,2.0
13000000.0,AS,Hangzhou,1.0
378812.0,EU,Cambridge,1.0
11999347.0,NorthAm,Burlington,1.0
130636.0,EU,Paris,1.0
1809056.0,AS,Bundangdong,1.0
619494.0,EU,Gorinchem,1.0
71450000.0,NorthAm,Bedford,9.0
700000.0,EU,Stockholm,1.0
5500000.0,NorthAm,San Francisco,2.0
500000.0,NorthAm,Santa Monica,1.0
